YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2020,4,29908,24900,CarGurus
2019,5,31436,26477,CarGurus
2018,6,76957,19238,CarGurus
2018,6,43000,20998,CarMax
2021,3,27000,26998,CarMax
2021,3,84523,23925,Craiglist
2019,5,22278,26998,Craiglist
2018,6,74559,18995,Craiglist
2018,6,25640,24640,Autotrader
2018,6,142560,13195,TrueCar
2019,5,22712,24388,AutoNation
2018,6,70954,18750,Auto List
2018,6,42435,22499,DGDG
2018,6,69642,17880,Edmunds
2021,3,21804,25955,AutoNation
