YEAR,Start_Year,Home_Value
,0,
2012,1,495922
2013,2,482040
2014,3,627567
2015,4,778054
2016,5,819509
2017,6,835670
2018,7,941678
2019,8,1018570
2020,9,1012727
2021,10,1098499
2022,11,1264965
